# timestamp: 2026-08-04T16:09:36
# quantity: current
# channel: 2
# psu_idn: PreReg,PSU-2CH-36V2A,SN00001,0.2.0
# dmm_idn: Siglent Technologies,SDM3065X,SDM36HCQ7R1239,3.02.01.12R1
# min_A: 0.0
# max_A: 2.0
# step_A: 0.025
# companion: 2.0
# settle_s: 0.6
# dmm_range: 2
# nplc: 10.0
# dmm_samples: 3
# psu_samples: 3
# simulated: False
index,t_s,v_set,v_dmm,v_dmm_sd,v_psu,aux_psu,temp_c
0,2.088113599922508,0.0,0.017878584883999998,0.029974250641617243,0.0008,0.0,43.6
1,4.223983800038695,0.025,0.024771748299999997,2.968600000000099e-06,0.025000000000000005,0.001,43.4
2,6.370747300097719,0.05,0.049955642700000004,1.7894023182894435e-05,0.0502,0.003,43.1
3,8.529726000037044,0.075,0.0748585066,2.968600000000099e-06,0.0751,0.005,43.0
4,10.622481799917296,0.1,0.10011958566666668,1.7141529492191271e-06,0.1004,0.007,42.9
5,12.767122199991718,0.125,0.12498682566666668,7.85410175216247e-06,0.1253,0.009,42.9
6,14.92754890001379,0.15,0.14978479800000002,9.54285905796046e-06,0.1501,0.011,42.9
7,17.072102600010112,0.175,0.175011243,5.936999999997528e-06,0.1754,0.013,42.9
8,19.171954500023276,0.2,0.19988046233333331,7.471289670025663e-06,0.2003,0.015,42.9
9,21.334873100044206,0.225,0.225112844,8.906000000002967e-06,0.2256,0.016,42.9
10,23.471971600083634,0.25,0.24992467,5.936999999997528e-06,0.2504,0.018,43.0
11,25.60558840003796,0.275,0.2746593116666667,1.0703356311609736e-05,0.2752,0.02,43.0
12,27.74111029994674,0.3,0.2998313316666667,3.4283058984382543e-06,0.3004,0.022,43.0
13,29.876370100071654,0.325,0.324682739,1.1997544790504525e-05,0.3253,0.023,43.1
14,32.022386600030586,0.35,0.34989038266666667,5.141881497388495e-06,0.3505,0.027,43.2
15,34.14667519996874,0.375,0.3747229886666667,5.141881497420545e-06,0.3754,0.028,43.2
16,36.291736900107935,0.4,0.3994328916666667,4.534676872001602e-06,0.40009999999999996,0.03,43.2
17,38.424831999931484,0.425,0.424596995,1.4942115747109516e-05,0.4254,0.031,43.2
18,40.595016499981284,0.45,0.449480068,9.542859057966216e-06,0.4502,0.032,43.4
19,42.72325660008937,0.475,0.4746748476666667,9.543066453369654e-06,0.4755,0.034,43.4
20,44.85175670008175,0.5,0.499549015,6.855457096338737e-06,0.5005,0.036,43.4
21,46.98167999996804,0.525,0.5243351123333333,9.069462846989894e-06,0.5252,0.039,43.5
22,49.13149289996363,0.55,0.5496219193333333,9.069462847038347e-06,0.5506,0.041,43.5
23,51.27308949991129,0.575,0.5744545256666668,1.3386447113893871e-05,0.5754,0.043,43.5
24,53.42212070012465,0.6,0.5996651380000001,7.854290738182813e-06,0.6007,0.046,43.5
25,55.54439840000123,0.625,0.6245868033333334,1.0703356311632831e-05,0.6256,0.046,43.6
26,57.6834150000941,0.65,0.649394671,3.427728548153344e-06,0.6505,0.048,43.6
27,59.82309910003096,0.675,0.6747428293333333,9.542496126964521e-06,0.6759,0.05,43.6
28,61.97042239992879,0.7,0.6996041323333334,1.028376299484109e-05,0.7008,0.052,43.8
29,64.09642329998314,0.725,0.7248691696666666,8.569610045573889e-06,0.726,0.053,43.9
30,66.27253560000099,0.75,0.7497740126666667,5.141881497356446e-06,0.751,0.056,43.9
31,68.40275879995897,0.775,0.7750103526666666,1.1874500003517588e-05,0.7763,0.059,44.0
32,70.53190620010719,0.8,0.7998399906666668,5.141881497420545e-06,0.8012,0.06,44.0
33,72.67240709997714,0.825,0.8245973913333334,1.1238735708822985e-05,0.826,0.061,44.2
34,74.82960620010272,0.85,0.849798108,1.1238955823353859e-05,0.8512,0.063,44.3
35,76.93939830013551,0.875,0.8746742543333333,1.4941585937674768e-05,0.8761,0.066,44.5
36,79.08035170007497,0.9,0.8999234586666667,1.5234198184812792e-05,0.9014000000000001,0.068,44.7
37,81.22238070005551,0.925,0.9247392426666666,1.8057420367667538e-05,0.9263,0.07,44.9
38,83.35379180009477,0.95,0.949519403,1.5233646050761045e-05,0.9511,0.072,44.9
39,85.49306300003082,0.975,0.974730015,3.427728548153344e-06,0.9764,0.074,45.1
40,87.63355819997378,1.0,0.999574496,7.4707598676416875e-06,1.0013,0.076,45.3
41,89.77189769991674,1.025,1.0247603666666665,9.06804462563782e-06,1.0264,0.077,45.3
42,91.90188460005447,1.05,1.0496216733333332,6.17694368872125e-06,1.0514,0.079,45.5
43,94.07209610007703,1.075,1.0744255833333334,1.2359491629222192e-05,1.0761,0.081,45.7
44,96.22060639993288,1.1,1.0997173366666666,9.069136305856036e-06,1.1016,0.083,45.9
45,98.33924759994261,1.125,1.12449552,0.0,1.1263,0.085,46.0
46,100.4838392001111,1.15,1.14968832,8.573651497408014e-06,1.1516,0.087,46.3
47,102.6215504000429,1.175,1.1745605033333333,1.2359491629257732e-05,1.1765,0.089,46.3
48,104.74688769993372,1.2,1.1992921799999998,9.547214253302402e-06,1.2014,0.091,46.4
49,106.8905738000758,1.225,1.2246235133333332,6.853147695295243e-06,1.2267,0.092,46.6
50,109.0260447000619,1.25,1.2493690433333333,1.2361093533075944e-05,1.2515,0.094,46.7
51,111.17350120004267,1.275,1.2745390833333332,1.5704424005123195e-05,1.2766,0.096,46.8
52,113.30051680002362,1.3,1.2994983499999997,1.7147302994559633e-06,1.3017,0.098,47.1
53,115.44187820004299,1.325,1.3242834600000002,1.5231112894309283e-05,1.3265,0.1,47.2
54,117.57735419995151,1.35,1.3496207333333334,1.2359491629222192e-05,1.352,0.102,47.4
55,119.74826040002517,1.375,1.3744652133333333,6.853147695295243e-06,1.3768,0.104,47.7
56,121.88472630013712,1.4,1.39969067,2.140726745762744e-05,1.4021,0.106,47.8
57,123.99185850005597,1.425,1.42457176,1.7147302994559635e-06,1.4270000000000003,0.107,47.9
58,126.15534140006639,1.45,1.4493736933333332,3.1275705161219796e-05,1.4519,0.109,48.2
59,128.28483500005677,1.475,1.47470503,5.939999999982071e-06,1.4772,0.111,48.4
60,130.41976339998655,1.5,1.49954555,4.5367499380289285e-06,1.5020999999999998,0.113,48.5
61,132.57099079992622,1.525,1.5248857933333335,1.8141544403179927e-05,1.5275,0.115,48.8
62,134.702488000039,1.55,1.5496877266666667,1.9318906111140825e-05,1.5523999999999998,0.117,48.9
63,136.8376676000189,1.575,1.5744055433333333,1.5235335025348217e-05,1.5771,0.119,49.2
64,138.98036690009758,1.6,1.59975469,3.4294605990401242e-06,1.6026,0.121,49.4
65,141.12032929994166,1.625,1.6245289133333334,1.0282608294335368e-05,1.6274,0.122,49.6
66,143.2531415000558,1.65,1.6498147333333335,1.1997338593791331e-05,1.6528,0.124,49.8
67,145.39182109991089,1.675,1.6745454166666667,4.531294884866771e-06,1.6775,0.126,50.1
68,147.53551859990694,1.7,1.6992721433333333,9.541511061276207e-06,1.7023,0.128,50.2
69,149.67114380002022,1.725,1.7246113966666667,2.913886808607875e-05,1.7276,0.13,50.5
70,151.80053690006025,1.75,1.7493331733333335,1.028260829420717e-05,1.7525000000000002,0.132,50.8
71,153.97366310004145,1.775,1.77457446,1.7147302994559635e-06,1.7778,0.134,51.0
72,156.10173030011356,1.8,1.79929327,8.573651497536213e-06,1.8026,0.136,51.3
73,158.22082399995998,1.825,1.82447518,2.9700000000465465e-06,1.8279000000000003,0.137,51.6
74,160.37096270010807,1.85,1.8492622699999999,9.073499876057857e-06,1.8526,0.139,51.9
75,162.52069119992666,1.875,1.8739246766666666,1.3387297461860027e-05,1.8774,0.141,52.2
76,164.64870429993607,1.9,1.8991313300000001,9.073499875936721e-06,1.9026000000000003,0.143,52.3
77,166.78376680007204,1.925,1.9237492033333332,2.078500020048822e-05,1.9273999999999998,0.145,52.6
78,168.92264280002564,1.95,1.9488291966666667,1.7396923099507607e-05,1.9525,0.147,52.9
79,171.06807249994017,1.975,1.9506984433333334,7.852212002561597e-06,1.9544,0.147,53.1
80,173.19962790003046,2.0,1.9507053733333333,8.567877994751207e-06,1.9544,0.147,53.4
