Designator,Footprint,Quantity,Value,LCSC Part #
BZ401,Buzzer_12x9.5RM7.6,1,Buzzer,
"C2, C6",0805,2,10u,
"C3, C5, C7",0603,3,C,
C4,0603,1,10n,
"D1, D2, D3, D4",LED_D3.0mm_FlatTop,4,LED_green,
"D5, D6",LED_D3.0mm_FlatTop,2,LED_red,
J2,PinSocket_2x08_P2.54mm_Vertical,1,OLED,
"J3, J4",PinSocket_2x02_P2.54mm_Vertical,2,Conn_02x02_Odd_Even,
J5,PinSocket_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J6,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04,
Q401,SOT-23-3,1,BSS138,
"R10, R12, R13, R14, R201, R8",0603,6,10k,
"R15, R16, R17, R18, R19, R20",0603,6,xx,
R403,0603,1,1k,
"R7, R9",0603,2,R,
"SW1, SW2, SW3, SW4, SW5, SW8",SW_PUSH_6mm_H13mm,6,SW_Push 18mm,
SW7,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch_MP,
"TP7, TP8",TestPoint_Pad_D1.5mm,2,TestPoint,
U3,SSOP-20_5.3x7.2mm_P0.65mm,1,MCP23008T-E/SS,
