Designator,Mid X,Mid Y,Rotation,Layer
BZ401,39.2,56.3,0.0,bottom
C2,97.3,54.2,0.0,bottom
C3,86.4,41.3,270.0,bottom
C4,86.3,35.2,90.0,bottom
C5,21.7,38.2,0.0,bottom
C6,39.7,31.9,180.0,bottom
C7,45.7,52.3,270.0,bottom
D1,8.0,28.3,90.0,top
D2,27.0,28.3,90.0,top
D3,52.0,28.3,90.0,top
D4,71.0,28.3,90.0,top
D5,17.47,28.3,180.0,top
D6,61.47,28.3,180.0,top
H1,44.5,37.0,0.0,top
H2,14.0,37.0,0.0,top
H3,79.0,37.0,0.0,top
J2,97.23,66.01,180.0,top
J3,17.5,23.77,90.0,bottom
J4,61.5,23.77,90.0,bottom
J5,39.5,23.77,90.0,bottom
J6,39.5,27.58,90.0,bottom
Q401,39.2,47.9,90.0,bottom
R10,89.5,35.225,90.0,bottom
R12,35.3,38.1,0.0,bottom
R13,35.3,36.6,0.0,bottom
R14,35.3,33.6,0.0,bottom
R15,10.4,23.2,90.0,bottom
R16,22.2,23.2,90.0,bottom
R17,55.3,23.0,90.0,bottom
R18,65.6,23.0,90.0,bottom
R19,12.9,23.2,90.0,bottom
R20,57.4,23.0,90.0,bottom
R201,39.2,43.3,0.0,bottom
R403,39.2,44.9,180.0,bottom
R7,87.9,41.3,270.0,bottom
R8,87.9,35.2,90.0,bottom
R9,91.15,35.25,270.0,bottom
SW1,71.0,45.7,90.0,top
SW2,58.4,45.7,90.0,top
SW3,45.8,45.7,90.0,top
SW4,33.2,45.7,90.0,top
SW5,20.6,45.7,90.0,top
SW7,90.0,45.5,90.0,top
SW8,8.0,45.7,90.0,top
TP7,17.7,33.9,0.0,bottom
TP8,20.5,33.9,0.0,bottom
U3,28.1,35.2,0.0,bottom
