Designator,Mid X,Mid Y,Rotation,Layer
A401,50.0,50.0,0.0,bottom
C1001,24.1,76.2,270.0,bottom
C1002,26.5,76.2,270.0,bottom
C1003,32.0,76.3,90.0,bottom
C1005,26.6549,81.5,270.0,bottom
C1006,19.7125,90.22,270.0,bottom
C1007,35.4,82.95,270.0,bottom
C1008,26.2,89.0,270.0,bottom
C1009,32.5,91.1,0.0,bottom
C101,75.2,78.1,270.0,bottom
C1010,19.6,86.7,270.0,bottom
C1011,26.2,85.5,270.0,bottom
C1012,7.5,43.4,270.0,bottom
C1013,22.0,32.4,90.0,bottom
C1014,14.625,29.975,180.0,bottom
C102,77.6,78.1,270.0,bottom
C103,86.1,31.7,270.0,bottom
C104,86.1,43.0,270.0,bottom
C105,84.175,88.55,0.0,bottom
C106,60.1,54.3,180.0,bottom
C107,84.175,86.1,0.0,bottom
C108,75.9,84.2,180.0,bottom
C109,64.9,54.3,0.0,bottom
C110,75.9,85.8,180.0,bottom
C111,87.7,28.7,180.0,bottom
C112,84.4,28.7,0.0,bottom
C113,88.5,47.1,0.0,bottom
C114,86.1,46.3,270.0,bottom
C115,84.4,80.6,180.0,bottom
C117,92.01,59.7,90.0,bottom
C118,67.6,79.8,0.0,bottom
C120,79.5,96.9,90.0,bottom
C1201,95.7,27.6,90.0,bottom
C1202,81.3,42.6,270.0,bottom
C1204,88.6,30.3,180.0,bottom
C122,64.5,62.225,270.0,bottom
C123,67.6,81.3,0.0,bottom
C124,88.3,87.9,0.0,bottom
C125,63.0,97.7,180.0,bottom
C126,83.375,52.6,180.0,bottom
C127,95.29,86.44,180.0,bottom
C128,91.0,52.6,0.0,bottom
C129,70.6625,63.4,180.0,bottom
C1301,97.7,45.125,270.0,bottom
C1302,95.5,45.125,270.0,bottom
C131,88.3,85.9,0.0,bottom
C132,87.635,25.95,270.0,bottom
C133,98.8,83.4,270.0,bottom
C135,70.45,97.05,90.0,bottom
C136,78.6,73.4,90.0,bottom
C138,69.75,89.8,180.0,bottom
C139,88.1,75.95,180.0,bottom
C140,76.2,73.4,90.0,bottom
C141,73.8,73.4,90.0,bottom
C142,95.3,80.8,180.0,bottom
C143,71.4,73.4,90.0,bottom
C144,84.4,66.2,270.0,bottom
C145,61.5,8.9,0.0,bottom
C146,97.4,75.2,180.0,bottom
C147,66.7,31.275,90.0,bottom
C201,21.4,63.85,180.0,bottom
C202,39.4,8.8,0.0,bottom
C203,61.3,40.0,270.0,bottom
C301,12.3,29.2,270.0,bottom
C302,12.3,40.3,270.0,bottom
C303,14.05,25.7,270.0,bottom
C304,10.6,29.2,270.0,bottom
C307,18.6,37.875,0.0,bottom
C309,17.5,5.9,0.0,bottom
C310,31.0,25.4,180.0,bottom
C402,61.275,44.6,90.0,bottom
C404,57.0,91.2,180.0,bottom
C405,75.5,65.9625,180.0,bottom
C501,20.8,76.175,270.0,bottom
C502,18.4,76.175,270.0,bottom
C503,19.025,82.4,180.0,bottom
C504,14.9,82.0,0.0,bottom
C505,10.6,78.375,0.0,bottom
C507,10.6,79.875,0.0,bottom
C508,12.0,67.1,180.0,bottom
C509,17.95,71.475,90.0,bottom
C511,15.6,71.475,90.0,bottom
C512,20.3,71.475,90.0,bottom
C513,22.65,71.475,90.0,bottom
C601,19.2,96.6,90.0,bottom
C602,37.0,97.7,0.0,bottom
C603,10.1,96.8,90.0,bottom
C604,12.3,89.4,0.0,bottom
C701,14.9,44.7,0.0,bottom
C702,9.1,43.4,270.0,bottom
C703,9.2,50.5,180.0,bottom
C704,16.6,50.5,0.0,bottom
C801,39.6,61.55,180.0,bottom
C802,34.4,61.5,0.0,bottom
C803,6.9,56.1,270.0,bottom
C804,4.85,54.3,270.0,bottom
C805,18.85,58.35,90.0,bottom
C806,15.5,43.9,90.0,top
C807,13.9,43.9,90.0,top
C901,44.75,86.2,180.0,bottom
C902,44.75,84.2,180.0,bottom
C903,45.35,78.926671,180.0,bottom
C904,39.75,81.226671,270.0,bottom
C905,48.35,84.226671,0.0,bottom
C906,48.35,86.226671,0.0,bottom
C907,48.35,88.226671,0.0,bottom
D1001,1.2,83.2,90.0,bottom
D1002,3.1,83.2,90.0,bottom
D1003,7.85,31.9,180.0,bottom
D1004,14.8,28.2,180.0,bottom
D1006,27.7,25.7,0.0,bottom
D1007,17.8,32.95,180.0,bottom
D1008,17.8,30.95,180.0,bottom
D101,83.1,95.95,90.0,bottom
D103,96.8875,55.1,0.0,bottom
D104,77.0,92.8,90.0,bottom
D105,88.0,65.8875,270.0,bottom
