Designator,Footprint,Quantity,Value,LCSC Part #
A401,Waveshare_PR2350_tiny,1,Waveshare RP2350-Tiny,
"C1001, C1002, C101, C102, C105, C107, C120, C135, C136, C140, C141, C143, C145, C201, C309, C405, C501, C502, C509, C511, C512, C513, C601, C603",1206,24,10u,
"C1003, C1015, C103, C104, C106, C108, C109, C115, C117, C118, C1205, C126, C128, C1301, C132, C144, C147, C301, C302, C307, C310, C402, C503, C505, C703, C704, C801, C802, C803, C805, C806, C903",0603,32,100n,
"C1004, C1203, C904",0603,3,100p,
"C1005, C1007, C124, C131, C905, C906, C907",0805,7,22u,
"C1006, C1009, C1010, C1011, C127, C1303, C139, C142, C146, C202, C404, C808, C901, C902",0805,14,10u,
"C1008, C133, L201, L401",0805,4,1u,
"C1012, C1013, C1201, C1202",0603,4,"2,2u",
"C1014, C1204",0603,2,22p,
"C110, C122, C123, C203, C504, C507, C804",0603,7,1u,
"C111, C303",0603,2,47n,
"C112, C1302, C304, C807",0603,4,27n,
"C113, C114, C701, C702",0603,4,"4,7u",
"C119, C137, C1401, C506, C510, C908, R110, R122, R503, R505",0603,10,opt,
"C121, C130, C134, C305, C306, C308",0603,6,10p,
"C125, C602",1210,2,CHV1210N1K0103KXT,
"C129, C508",0603,2,1n,
"C138, C604",CP_Elec_8x10.5,2,100u,
"D1001, D105, D903",0603,3,green LED 3V3,
"D1002, D106",0603,2,green LED -5V,
"D1003, D1004, D1006, D1007, D1008, D1201, D1202, D1204, D1205, D1206",D_SOD-323,10,1N4148WS,
"D1005, D1203",D_SOD-323,2,MM3Z4V7T1G,
"D101, D601",D_SMB,2,SMBJ40A,
"D103, D107, D801, D802",0603,4,red LED 3V3,
"D104, D602",0603,2,green LED 40V,
"D1401, D904",0603,2,green LED PG,
"D201, D401",D_SMB,2,SMBJ36A,
D901,D_SMB,1,SMBJ12A,
D902,0603,1,green LED 12V,
"F101, F601, F901",1206,3,"3,5A",
"F102, F301",1206,2,3A,
"FL101, FL601",L_CommonModeChoke_Murata_DLW5BTMxxxSQ2x_5x5mm,2,DLW5BTM102TQ2L,
"J101, J601, J901","PhoenixContact_MCV_1,5_2-G-3.81_1x02_P3.81mm_Vertical",3,Power Input,
"J102, J801",JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,2,Conn_01x03_Pin,
"J103, J802",PinHeader_2x02_P2.54mm_Horizontal,2,Conn_02x02_Odd_Even,
"J201, J402",Banana_Cliff_FCR7350R_S16N-PC_Horizontal,2,Banana_Red,
"J202, J403",Banana_Cliff_FCR7350B_S16N-PC_Horizontal,2,Banana_Black,
J203,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,
J204,IDC-Header_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
J205,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"L1001, L101",L_TDK_VLS6045EX_VLS6045AF,2,33u VLS6045EX-330M,
"L102, L501",L_Wuerth_MAPI-4030,2,10u 74438357100,
L901,1210,1,"6,8u LBC3225T6R8MR",
M401,FanPinHeader_1x04_P2.54mm_Vertical,1,Fan_4pin,
"Q101, Q501",SOT-23-3,2,MMBT3906,
"Q102, Q107, Q301, Q304",SOT-223,4,BCP56,
"Q103, Q302",SOT-23-3,2,BSS138,
"Q104, Q303",TO-220-3_Horizontal_TabUp,2,TIP125,
"Q105, Q106, Q1401, Q801, Q802, Q901",SOT-23,6,BSS138,
"R1001, R114",0603,2,75k,
"R1002, R115",0603,2,"16,2k",
"R1003, R124, R136, R140, R1401, R803, R806, R905",0603,8,"2,4k",
"R1004, R139, R901, R904",0603,4,###,
"R101, R102, R103, R109, R113, R120, R1302, R1402, R201, R202, R203, R204, R205, R301, R302, R310, R501, R801, R802, R808, R906",0603,21,10k,
"R104, R105, R118, R125, R135, R137, R308, R404, R506, R701, R702, R804, R805",0603,13,1k,
"R106, R303",0603,2,18k,
"R107, R121, R304, R311",0603,4,0,
"R108, R502",0603,2,"60,4k",
"R112, R305",0603,2,"1,2k",
"R116, R119, R306, R309",0603,4,"2,2k 0,1%",
"R117, R307",0603,2,"3,3k",
"R123, R312",0603,2,220,
"R126, R507",0603,2,"4,99k",
"R127, R128, R313, R314",0603,4,"33k 0,1%",
"R129, R315",1206,2,150,
"R130, R508, R903",0603,3,62k,
"R1301, R807",0603,2,12k,
"R131, R316",0603,2,"11k 0,1%",
"R132, R317",0603,2,"1k 0,1%",
"R133, R509",0603,2,100k,
"R134, R601",0603,2,38k,
"R138, R318",2512,2,100m,
"R141, R319",1206,2,200m,
"R142, R320",0603,2,47,
R902,0603,1,196k,
"TH101, TH801",0603,2,NCU18XH103F60RB,
TH201,Flex NTC,1,Thermistor_NTC,
"TP101, TP301",TestPoint_Pad_D1.0mm,2,Vsense,
"TP102, TP302",TestPoint_Pad_D1.0mm,2,CV_loop,
"TP103, TP303",TestPoint_Pad_D1.0mm,2,CC_loop,
"TP104, TP304",TestPoint_Pad_D1.0mm,2,CC/CV,
"TP105, TP305",TestPoint_Pad_D1.0mm,2,Isense,
"TP106, TP107, TP110, TP1401, TP1506, TP501, TP502, TP503, TP608, TP901",TestPoint_Pad_D1.0mm,10,TestPoint_Alt,
"TP108, TP112, TP1503, TP1504, TP1505, TP201, TP202, TP203, TP401, TP402, TP403, TP505, TP601, TP605, TP606, TP607",SMD Test Point PCWCTE,16,TestPoint,
"TP1501, TP1502, TP1507, TP306, TP307, TP308, TP602, TP603, TP604",TestPoint_Keystone_5005-5009_Compact,9,TestPoint_Alt,
"U1002, U109",SOT-89-3,2,AP7383,
"U1003, U110",SOT-23-6,2,LM2776,
"U1004, U111",SC-74A-5_1.55x2.9mm_P0.95mm,2,XC6901D121MR-G,
"U101, U301",TSSOP-14_4.4x5mm_P0.65mm,2,TLV4387PWR,
"U102, U801",SOIC-8_3.9x4.9mm_P1.27mm,2,ISO6721RFBD,
"U104, U501",QFN-28-1EP_3x6mm_P0.5mm_EP1.7x4.75mm_ThermalVias,2,LT8612,
"U105, U302",SOT-353_SC-70-5,2,LMV331,
"U106, U802",SOIC-14_3.9x8.7mm_P1.27mm,2,ATtiny1614-SS,
"U107, U701",TSSOP-10_3x3mm_P0.5mm,2,ADS1118IDGS,
"U108, U702",MSOP-10_3x3mm_P0.5mm,2,MCP48FVB22,
"U1501, U601",SOT-23-6,2,LMR51606,
U901,TSOT-23-6,1,AP63200WU,
